,variable,label,acs
69,p_married,percent currently married (excluding separated),
70,p_widowed_divorced,"percent widowed, divorced, and separated",
71,p_female_headed_families,percentage of female-headed families with children,
72,n_white_persons,persons of white race,
73,n_nonhisp_white_persons,"persons of white race, not Hispanic origin",B03002_003E
74,n_black_persons,persons of black race,
75,n_nonhisp_black_persons,"persons of black race, not Hispanic origin",B03002_004E
76,n_hispanic_persons,persons of Hispanic origin,B03002_012E
77,n_native_persons,"persons of Native American race, not Hispanic origin",B03002_005E
78,n_hawaiian_persons,"persons of Hawaiian race, not Hispanic origin",B02001_006E
79,n_asian_indian_persons,persons of Asian Indian race,B03002_006E+B03002_007E
80,n_chinese_persons,persons of Chinese race,B02015_007E+B02015_020E
81,n_filipino_persons,persons of Filipino race,B02015_008E
82,n_japanese_persons,persons of Japanese race,B02015_011E
83,n_korean_persons,persons of Korean race,B02015_012E
84,n_asian_persons,persons of Asian race,B03002_006E+B03002_007E
85,n_vietnamese_persons,persons of Vietnamese race,B02018_022E
86,n_white_age_distribution,white population with known age distribution,B01001H_001E
87,n_white_under_15,0-15 years old of white race,B01001H_003E+B01001H_004E+B01001H_005E+B01001H_018E+B01001H_019E+B01001H_020E
88,n_white_over_60,60 years and older of white race,
89,n_white_over_65,65 years and older of non-Hispanic whites,B01001H_014E+B01001H_015E+B01001H_016E+B01001H_029E+B01001H_030E+B01001H_031E
90,n_black_age_distribution,black population with known age distribution,B01001B_001E
91,n_black_under_15,0-15 years old of black race,B01001B_003E+B01001B_004E+B01001B_005E+B01001B_018E+B01001B_019E+B01001B_020E
92,n_black_over_60,60 years and older of black race,
93,n_black_over_65,65 years and older of black race,B01001B_014E+B01001B_015E+B01001B_016E+B01001B_029E+B01001B_030E+B01001B_031E
94,n_hispanic_age_distribution,Hispanic population with known age distribution,B01001I_001E
95,n_hispanic_under_15,"0-15 years old, persons of Hispanic origins",B01001I_003E+B01001I_004E+B01001I_005E+B01001I_018E+B01001I_019E+B01001I_020E
96,n_hispanic_over_60,"60 years and older, persons of Hispanic origins",
97,n_hispanic_over_65,"65 years and older, persons of Hispanic origins",B01001I_014E+B01001I_015E+B01001I_016E+B01001I_029E+B01001I_030E+B01001I_031E
98,n_native_age_distribution,Native American population with known age distribution,B01001C_001E
99,n_native_under_15,0-15 years old of Native American race,B01001C_003E+B01001C_004E+B01001C_005E+B01001C_018E+B01001C_019E+B01001C_020E
100,n_native_over_60,60 years and older of Native American race,
101,n_native_over_65,65 years and older of Native American race,B01001C_014E+B01001C_015E+B01001C_016E+B01001C_029E+B01001C_030E+B01001C_031E
102,n_asian_age_distribution,Asian and Pacific Islander population with known age distribution,B01001D_001E+B01001E_001E
103,n_asian_under_15,0-15 years old of Asians and Pacific Islanders,B01001D_003E+B01001D_004E+B01001D_005E+B01001D_018E+B01001D_019E+B01001D_020E+B01001E_003E+B01001E_004E+B01001E_005E+B01001E_018E+B01001E_019E+B01001E_020E
104,n_asian_over_60,60 years and older of Asians and Pacific Islanders,
105,n_asian_over_65,65 years and older of Asians and Pacific Islanders,B01001D_014E+B01001D_015E+B01001D_016E+B01001E_014E+B01001E_015E+B01001E_016E+B01001E_029E+B01001E_030E+B01001E_031E+B01001D_029E+B01001D_030E+B01001D_031E
106,p_white_persons,percentage of persons of white race,
107,p_black_persons,percentage of persons of black race,
108,p_nonhisp_white_persons,"percentage of persons of white race, not Hispanic origin",
109,p_nonhisp_black_persons,"percentage of persons of black race, not Hispanic origin",
110,p_hispanic_persons,percentage of persons of Hispanic origin,
111,p_native_persons,percentage of persons of Native American race,
112,p_asian_persons,percentage of persons of Asian race (and Pacific Islander),
113,p_hawaiian_persons,percentage of persons of Hawaiian race,
114,p_asian_indian_persons,percentage of persons of Asian Indian race,
115,p_chinese_persons,percentage of persons of Chinese race,
116,p_filipino_persons,percentage of persons of Filipino race,
117,p_japanese_persons,percentage of persons of Japanese race,
118,p_korean_persons,percentage of persons of Korean race,
119,p_vietnamese_persons,percentage of persons of Vietnamese race,
120,p_white_under_15,percentage of 0-15 years old of white race,
121,p_white_over_60,percentage of 60 years and older of white race,
122,p_white_over_65,percentage of 65 years and older of non-Hispanic whites,
123,p_black_under_15,percentage of 0-15 years old of black race,
124,p_black_over_60,percentage of 60 years and older of black race,
125,p_black_over_65,percentage of 65 years and older of black race,
126,p_hispanic_under_15,"percentage of 0-15 years old, persons of Hispanic origins",
127,p_hispanic_over_60,"percentage of 60 years and older, persons of Hispanic origins",
128,p_hispanic_over_65,"percentage of 65 years and older, persons of Hispanic origins",
129,p_native_under_15,percentage of 0-15 years old of Native American race,
130,p_native_over_60,percentage of 60 years and older of Native American race,
131,p_native_over_65,percentage of 65 years and older of Native American race,
132,p_asian_under_15,percentage of 0-15 years old of Asians and Pacific Islanders,
133,p_asian_over_60,percentage of 60 years and older of Asians and Pacific Islanders,
134,p_asian_over_65,percentage of 65 years and older of Asians and Pacific Islanders,
135,n_female_over_16,"females 16 years and over, except in armed forces",
136,n_female_labor_force,females in labor force,
137,n_labor_force,civilian labor force,B27011_002E
138,n_unemployed_persons,unemployed persons,C24010_001E-(B23001_007E+B23001_014E+B23001_021E+B23001_028E+B23001_035E+B23001_042E+B23001_049E+B23001_049E+B23001_056E+B23001_063E+B23001_070E+B23001_093E+B23001_100E+B23001_107E+B23001_114E+B23001_121E+B23001_128E+B23001_135E+B23001_142E+B23001_149E+B23001_156E)
139,n_employed_over_16,employed persons 16 years and over,B23001_007E+B23001_014E+B23001_021E+B23001_028E+B23001_035E+B23001_042E+B23001_049E+B23001_049E+B23001_056E+B23001_063E+B23001_070E+B23001_093E+B23001_100E+B23001_107E+B23001_114E+B23001_121E+B23001_128E+B23001_135E+B23001_142E+B23001_149E+B23001_156E
140,n_employed_professional,professional employees (by occupations),
141,n_employed_manufacturing,manufacturing employees (by industries),
142,n_employed_self_employed,self-employed,
143,n_civilians_over_16,civilian population 16 years and over,C24010_001E
144,n_civilians_over_18,civilian population 18 years and over,
145,n_veterans,veterans,B21001_002E
146,n_civilians_16_64,civilian non-institutionalized persons 16-64 years old,
147,n_disabled,disabled,
148,median_household_income,Median household income,B19013_001E
149,n_total_households,total households in sample-based data,B19001_001E
150,median_income_whitehh,Median household income for whites,B19013H_001E
151,n_white_households,total white households in sample-based data,B19001H_001E
152,median_income_blackhh,Median household income for blacks,B19013B_001E
153,n_black_households,total black households in sample-based data,B19001B_001E
154,median_income_hispanichh,Median household income for Hispanics,B19013I_001E
155,n_hispanic_households,total Hispanic households in sample-based data,B19001I_001E
156,median_income_asianhh,Median household income for Asians and Pacific Islanders,
157,n_asian_households,total Asian/Pacific Islander households in sample-based data,B19001D_001E+B19001E_001E
158,per_capita_income,Per capita income,B19301_001E
159,n_poverty_determined_persons,persons for whom poverty status is determined,B17001_001E
160,n_poverty_persons,persons in poverty,B17001_002E
161,n_poverty_over_65,persons 65 years and older in poverty,B17001_015E+B17001_016E+B17001_029E+B17001_030E
162,n_poverty_determined_families,families for whom poverty status is determined,B17001_001E
163,n_poverty_families_children,families with children in poverty,B17010_004E+B17010_011E+B17010_017E
164,n_poverty_determined_white,white persons for whom poverty status is determined,B17001A_001E
165,n_poverty_white,whites in poverty,B17001A_002E
166,n_poverty_determined_black,black persons for whom poverty status is determined,B17001B_001E
167,n_poverty_black,blacks in poverty,B17001B_002E
168,n_poverty_determined_hispanic,Hispanics for whom poverty status is determined,B17020I_001E
169,n_poverty_hispanic,Hispanics in poverty,B17020I_002E
170,n_poverty_determined_native,Native American for whom poverty status is determined,B17020C_001E
171,n_poverty_native,Native Americans in poverty,B17020C_002E
172,n_poverty_determined_asian,Asians and Pacific Islanders for whom poverty status is determined,B17020E_001E
173,n_poverty_asian,Asians and Pacific Islanders in poverty,B17020E_002E
174,n_edu_college_greater,persons with at least a four-year college degree,B15002_015E+B15002_016E+B15002_017E+B15002_018E+B15002_032E+B15002_033E+B15002_034E+B15002_035E
175,n_edu_hs_less,persons with high school degree or less,B15002_003E+B15002_004E+B15002_005E+B15002_006E+B15002_007E+B15002_008E+B15002_009E+B15002_010E+B15002_020E+B15002_021E+B15002_022E+B15002_023E+B15002_024E+B15002_025E+B15002_026E+B15002_027E
176,p_edu_hs_less,percentage of persons with high school degree or less,
177,p_edu_college_greater,percentage of persons with at least a four-year college degree,
178,p_unemployment_rate,percent unemployed,
179,p_female_labor_force,percentage of females in labor force,
180,p_employed_professional,percentage of professional employees (by occupations),
181,p_employed_manufacturing,percentage of manufacturing employees (by industries),
182,p_employed_self_employed,percentage of self-employed,
183,p_veterans,percentage of veterans,
184,p_disabled,percent with disability,
185,p_poverty_rate,percent poor,
186,p_poverty_rate_over_65,percentage of 65 years and older in poverty,
187,p_poverty_rate_children,percentage of families with children in poverty,
188,p_poverty_rate_white,percentage of whites in poverty,
189,p_poverty_rate_black,percentage of blacks in poverty,
190,p_poverty_rate_hispanic,percentage of Hispanics in poverty,
191,p_poverty_rate_native,percentage of Native Americans in poverty,
192,p_poverty_rate_asian,percentage of Asian and Pacific Islanders in poverty,
193,n_total_pop,total population,B01001_001E
